slot,start,end,source_rows,source_times,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,grid_kwh,charge_kwh,discharge_kwh,curtailed_pv_kwh,soc_start_kwh,soc_end_kwh,soc_increment_kwh,action,cost_yuan
109,18:00,18:10,110,18:10,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999,531.8940500000062,0.0,109.26724999999351,0.0,10799.999999999996,10678.591944444448,-121.40805555554834,discharge,668.1121162050079
110,18:10,18:20,111,18:20,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,678.8305333333385,0.0,0.0,0.0,10678.591944444448,10678.591944444453,5.4569682106375694e-12,idle,844.9403648400064
111,18:20,18:30,112,18:30,1.2545,4225.9524,108.3414,704.3254,18.0569,686.2685000000001,0.0,0.0,0.0,10678.591944444453,10678.591944444453,0.0,idle,860.9238332500001
112,18:30,18:40,113,18:40,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,696.5043833333257,0.0,0.0,0.0,10678.591944444453,10678.591944444446,-7.275957614183426e-12,idle,872.1627888099904
113,18:40,18:50,114,18:50,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334,0.0,0.0,704.6342666666671,0.0,10678.591944444446,9895.664981481483,-782.9269629629634,discharge,0.0
114,18:50,19:00,115,19:00,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333,0.0,0.0,706.4840333333332,0.0,9895.664981481483,9110.682722222224,-784.9822592592591,discharge,0.0
115,19:00,19:10,116,19:10,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,0.0,0.0,707.4064666666676,0.0,9110.682722222224,8324.675537037037,-786.0071851851862,discharge,0.0
116,19:10,19:20,117,19:20,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666,0.0,0.0,708.5530000000002,0.0,8324.675537037037,7537.394425925926,-787.2811111111114,discharge,0.0
117,19:20,19:30,118,19:30,1.3483,4256.6813,0.0,709.4468833333333,0.0,0.0,0.0,709.4468833333341,0.0,7537.394425925926,6749.12011111111,-788.2743148148156,discharge,0.0
118,19:30,19:40,119,19:40,1.349,4267.3947,0.0,711.23245,0.0,0.0,0.0,711.2324499999994,0.0,6749.12011111111,5958.861833333333,-790.258277777777,discharge,0.0
119,19:40,19:50,120,19:50,1.3473,4269.975,0.0,711.6625,0.0,0.0,0.0,711.6625000000003,0.0,5958.861833333333,5168.125722222222,-790.7361111111113,discharge,0.0
120,19:50,20:00,121,20:00,1.3482,4268.6702,0.0,711.4450333333332,0.0,0.0,0.0,711.4450333333335,0.0,5168.125722222222,4377.63124074074,-790.4944814814817,discharge,0.0
121,20:00,20:10,122,20:10,1.3513,4282.2245,0.0,713.7040833333333,0.0,0.0,0.0,713.7040833333331,0.0,4377.63124074074,3584.6267037037037,-793.0045370370367,discharge,0.0
122,20:10,20:20,123,20:20,1.34,4291.7049,0.0,715.28415,0.0,0.0,0.0,715.2841499999998,0.0,3584.6267037037037,2789.8665370370372,-794.7601666666665,discharge,0.0
123,20:20,20:30,124,20:30,1.3489,4291.3611,0.0,715.22685,0.0,0.0,0.0,715.2268500000002,0.0,2789.8665370370372,1995.170037037037,-794.6965000000002,discharge,0.0
124,20:30,20:40,125,20:40,1.3952,4293.9182,0.0,715.6530333333333,0.0,0.0,0.0,715.6530333333333,0.0,1995.170037037037,1200.0,-795.170037037037,discharge,0.0
125,20:40,20:50,126,20:50,1.2226,4295.2135,0.0,715.8689166666666,0.0,715.8689166666666,0.0,0.0,0.0,1200.0,1200.0,0.0,idle,875.2213375166665
126,20:50,21:00,127,21:00,0.9332,4302.0307,0.0,717.0051166666667,0.0,717.0051166666667,0.0,0.0,0.0,1200.0,1200.0,0.0,idle,669.1091748733334
127,21:00,21:10,128,21:10,0.9068,4320.9618,0.0,720.1603,0.0,720.1603,0.0,0.0,0.0,1200.0,1200.0,0.0,idle,653.0413600400001
128,21:10,21:20,129,21:20,0.9371,4302.3292,0.0,717.0548666666666,0.0,717.0548666666666,0.0,0.0,0.0,1200.0,1200.0,0.0,idle,671.9521155533333
129,21:20,21:30,130,21:30,0.9371,4322.6758,0.0,720.4459666666667,0.0,720.4459666666667,0.0,0.0,0.0,1200.0,1200.0,0.0,idle,675.1299153633333
130,21:30,21:40,131,21:40,0.9871,4428.8083,0.0,738.1347166666666,0.0,738.1347166666666,0.0,0.0,0.0,1200.0,1200.0,0.0,idle,728.6127788216666
131,21:40,21:50,132,21:50,0.7764,4030.1614,0.0,671.6935666666666,0.0,671.6935666666666,0.0,0.0,0.0,1200.0,1200.0,0.0,idle,521.5028851599999
132,21:50,22:00,133,22:00,0.4209,3362.7419,0.0,560.4569833333333,0.0,1393.7903166666667,833.3333333333333,0.0,0.0,1200.0,1950.0,750.0,charge,586.646344285
133,22:00,22:10,134,22:10,0.3859,3309.3934,0.0,551.5655666666667,0.0,1384.8988999999997,833.3333333333333,0.0,0.0,1950.0,2700.0,750.0,charge,534.4324855099999
134,22:10,22:20,135,22:20,0.4368,3412.9563,0.0,568.8260499999999,0.0,568.826050000001,0.0,0.0,0.0,2700.0,2700.000000000001,9.094947017729282e-13,idle,248.46321864000046
135,22:20,22:30,136,22:30,0.4198,3381.9313,0.0,563.6552166666667,0.0,1396.9885499999996,833.3333333333333,0.0,0.0,2700.000000000001,3450.000000000001,750.0,charge,586.4557932899999
136,22:30,22:40,137,22:40,0.4186,3386.5592,0.0,564.4265333333333,0.0,1397.7598666666668,833.3333333333333,0.0,0.0,3450.000000000001,4200.000000000001,750.0,charge,585.1022801866668
137,22:40,22:50,138,22:50,0.4241,3400.4846,0.0,566.7474333333332,0.0,566.747433333333,0.0,0.0,0.0,4200.000000000001,4200.000000000001,0.0,idle,240.3575864766665
138,22:50,23:00,139,23:00,0.4237,3399.2426,0.0,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,0.0,4200.000000000001,4950.000000000001,750.0,charge,593.1265149366667
139,23:00,23:10,140,23:10,0.4248,3406.9809,0.0,567.83015,0.0,567.830149999998,0.0,0.0,0.0,4950.000000000001,4949.999999999999,-1.8189894035458565e-12,idle,241.21424771999915
140,23:10,23:20,141,23:20,0.424,3416.1518,0.0,569.3586333333333,0.0,569.3586333333366,0.0,0.0,0.0,4949.999999999999,4950.000000000003,3.637978807091713e-12,idle,241.4080605333347
